item_id,source_image,suggested_qid,suggested_score,baseline_trust_band,recommended_route,triggered_checks,audit_summary,audit_verdict,audit_notes
screenshots/900.png,screenshots/900.png,q0328,80.766,very-high,manual review,topic-subtopic-drift-risk,"Downgraded from very-high to manual review because topic-subtopic-drift-risk fired. Stored adjudication later approved q0328 unchanged, so this downgrade was too conservative.",too_conservative,
screenshots/Screenshot 2026-04-07 at 18.28.29 1.png,screenshots/Screenshot 2026-04-07 at 18.28.29 1.png,q0380,78.868,high,manual review,image-sign-symbol-mismatch-risk|trust-band-caution,"Downgraded from high to manual review because image-sign-symbol-mismatch-risk, trust-band-caution fired. Stored adjudication later approved q0380 unchanged, so this downgrade was too conservative.",too_conservative,
screenshots/Screenshot 2026-04-07 at 18.28.43 1.png,screenshots/Screenshot 2026-04-07 at 18.28.43 1.png,q0892,74.11,high,manual review,topic-subtopic-drift-risk|image-sign-symbol-mismatch-risk,"Downgraded from high to manual review because topic-subtopic-drift-risk, image-sign-symbol-mismatch-risk fired. Stored adjudication later approved q0892 unchanged, so this downgrade was too conservative.",too_conservative,
screenshots/Screenshot 2026-04-07 at 18.28.27 1.png,screenshots/Screenshot 2026-04-07 at 18.28.27 1.png,q0876,71.128,high,manual review,image-sign-symbol-mismatch-risk|trust-band-caution,"Downgraded from high to manual review because image-sign-symbol-mismatch-risk, trust-band-caution fired. Stored adjudication later approved q0876 unchanged, so this downgrade was too conservative.",too_conservative,
screenshots/Screenshot 2026-04-07 at 18.28.54.png,screenshots/Screenshot 2026-04-07 at 18.28.54.png,q0017,68.166,medium,manual review,trust-band-caution,"Downgraded from medium to manual review because trust-band-caution fired. Stored adjudication later approved q0017 unchanged, so this downgrade was too conservative.",too_conservative,
screenshots/Screenshot 2026-04-07 at 18.28.52 1.png,screenshots/Screenshot 2026-04-07 at 18.28.52 1.png,q0268,66.769,medium,manual review,topic-subtopic-drift-risk|trust-band-caution,"Downgraded from medium to manual review because topic-subtopic-drift-risk, trust-band-caution fired. Stored adjudication later approved q0268 unchanged, so this downgrade was too conservative.",too_conservative,
screenshots/902.png,screenshots/902.png,q0314,53.736,low,manual review,trust-band-caution,"Downgraded from low to manual review because trust-band-caution fired. Stored adjudication later approved q0314 unchanged, so this downgrade was too conservative.",too_conservative,
screenshots/Screenshot 2026-04-07 at 18.28.33.png,screenshots/Screenshot 2026-04-07 at 18.28.33.png,q0283,52.06,low,manual review,topic-subtopic-drift-risk,"Downgraded from low to manual review because topic-subtopic-drift-risk fired. Stored adjudication later approved q0283 unchanged, so this downgrade was too conservative.",too_conservative,
