item_id,source_image,baseline_section,baseline_route,suggested_qid,suggested_score,original_preflight_status,original_recommended_route,original_triggered_checks,original_decision_signals,calibrated_preflight_status,calibrated_recommended_route,calibrated_triggered_checks,calibrated_decision_signals,adjudication_available,adjudication_auto_match_correct,adjudication_final_decision,calibration_change
screenshots/Screenshot 2026-04-07 at 18.28.22.png,screenshots/Screenshot 2026-04-07 at 18.28.22.png,review-needed,manual review,q0755,61.598,warn,manual review,image-sign-symbol-mismatch-risk,image-sign-symbol-mismatch-risk,warn,manual review,image-sign-symbol-mismatch-risk,image-sign-symbol-mismatch-risk,true,false,approve-existing-qid,unchanged
screenshots/Screenshot 2026-04-07 at 18.28.44.png,screenshots/Screenshot 2026-04-07 at 18.28.44.png,review-needed,manual review,q0718,60.311,warn,manual review,image-sign-symbol-mismatch-risk,image-sign-symbol-mismatch-risk,warn,manual review,image-sign-symbol-mismatch-risk,image-sign-symbol-mismatch-risk,true,true,approve-existing-qid,unchanged
screenshots/Screenshot 2026-04-07 at 18.28.34 1.png,screenshots/Screenshot 2026-04-07 at 18.28.34 1.png,review-needed,manual review,q0020,60.117,pass,manual review,,,pass,manual review,,,true,false,approve-existing-qid,unchanged
screenshots/Screenshot 2026-04-07 at 18.28.31.png,screenshots/Screenshot 2026-04-07 at 18.28.31.png,review-needed,manual review,q0063,60.028,pass,manual review,,,pass,manual review,,,true,true,approve-existing-qid,unchanged
screenshots/Screenshot 2026-04-07 at 18.28.23.png,screenshots/Screenshot 2026-04-07 at 18.28.23.png,review-needed,manual review,q0737,56.186,warn,manual review,image-sign-symbol-mismatch-risk,image-sign-symbol-mismatch-risk,warn,manual review,image-sign-symbol-mismatch-risk,image-sign-symbol-mismatch-risk,true,true,approve-existing-qid,unchanged
screenshots/Screenshot 2026-04-07 at 18.28.28.png,screenshots/Screenshot 2026-04-07 at 18.28.28.png,review-needed,manual review,q0763,55.828,warn,manual review,image-sign-symbol-mismatch-risk,image-sign-symbol-mismatch-risk,warn,manual review,image-sign-symbol-mismatch-risk,image-sign-symbol-mismatch-risk,true,false,approve-existing-qid,unchanged
screenshots/Screenshot 2026-04-07 at 18.28.46.png,screenshots/Screenshot 2026-04-07 at 18.28.46.png,review-needed,manual review,q0677,54.831,warn,manual review,image-sign-symbol-mismatch-risk,image-sign-symbol-mismatch-risk,warn,manual review,image-sign-symbol-mismatch-risk,image-sign-symbol-mismatch-risk,true,false,approve-existing-qid,unchanged
screenshots/Screenshot 2026-04-07 at 18.28.43.png,screenshots/Screenshot 2026-04-07 at 18.28.43.png,review-needed,manual review,q0391,54.401,warn,manual review,image-sign-symbol-mismatch-risk,image-sign-symbol-mismatch-risk,warn,manual review,image-sign-symbol-mismatch-risk,image-sign-symbol-mismatch-risk,true,false,approve-existing-qid,unchanged
screenshots/Screenshot 2026-04-07 at 18.28.40 1.png,screenshots/Screenshot 2026-04-07 at 18.28.40 1.png,review-needed,manual review,q0154,51.653,pass,manual review,,,pass,manual review,,,true,true,approve-existing-qid,unchanged
screenshots/Screenshot 2026-04-07 at 18.28.37.png,screenshots/Screenshot 2026-04-07 at 18.28.37.png,review-needed,manual review,q0167,50.765,pass,manual review,,,pass,manual review,,,true,false,approve-existing-qid,unchanged
