item_id,source_image,baseline_section,baseline_route,suggested_qid,suggested_score,suggested_score_gap,baseline_trust_band,adjusted_trust_band,preflight_status,recommended_route,calibration_profile,source_type,provisional_topic,candidate_topic,expected_object_tags,candidate_object_tags,triggered_checks,decision_signals
screenshots/Screenshot 2026-04-07 at 18.28.23.png,screenshots/Screenshot 2026-04-07 at 18.28.23.png,review-needed,manual review,q0737,56.186,5.428,low,low,warn,manual review,calibrated,MCQ,proper-driving,police-hand-signals,,,image-sign-symbol-mismatch-risk,image-sign-symbol-mismatch-risk
screenshots/Screenshot 2026-04-07 at 18.28.28.png,screenshots/Screenshot 2026-04-07 at 18.28.28.png,review-needed,manual review,q0763,55.828,0.072,low,low,warn,manual review,calibrated,MCQ,traffic-signals,traffic-signals,intersection,crosswalk|traffic-light,image-sign-symbol-mismatch-risk,image-sign-symbol-mismatch-risk
screenshots/Screenshot 2026-04-07 at 18.28.46.png,screenshots/Screenshot 2026-04-07 at 18.28.46.png,review-needed,manual review,q0677,54.831,0.924,low,low,warn,manual review,calibrated,MCQ,traffic-signals,police-hand-signals,,,image-sign-symbol-mismatch-risk,image-sign-symbol-mismatch-risk
screenshots/Screenshot 2026-04-07 at 18.28.43.png,screenshots/Screenshot 2026-04-07 at 18.28.43.png,review-needed,manual review,q0391,54.401,0.636,low,low,warn,manual review,calibrated,MCQ,driving-operations,driving-operations,,,image-sign-symbol-mismatch-risk,image-sign-symbol-mismatch-risk
screenshots/Screenshot 2026-04-07 at 18.28.40 1.png,screenshots/Screenshot 2026-04-07 at 18.28.40 1.png,review-needed,manual review,q0154,51.653,15.547,low,low,pass,manual review,calibrated,MCQ,proper-driving,proper-driving,,,,
screenshots/Screenshot 2026-04-07 at 18.28.37.png,screenshots/Screenshot 2026-04-07 at 18.28.37.png,review-needed,manual review,q0167,50.765,6.149,low,low,pass,manual review,calibrated,MCQ,proper-driving,expressway,,,,
screenshots/Screenshot 2026-04-07 at 18.28.27.png,screenshots/Screenshot 2026-04-07 at 18.28.27.png,review-needed,manual review,q0710,50.089,0,low,low,warn,manual review,calibrated,MCQ,traffic-signals,traffic-signs,,,topic-subtopic-drift-risk|image-sign-symbol-mismatch-risk,topic-subtopic-drift-risk|image-sign-symbol-mismatch-risk
screenshots/Screenshot 2026-04-07 at 18.28.47 1.png,screenshots/Screenshot 2026-04-07 at 18.28.47 1.png,review-needed,manual review,q0313,49.488,2.399,very-low,very-low,warn,manual review,calibrated,ROW,road-safety,vehicle-registration,,,topic-subtopic-drift-risk,topic-subtopic-drift-risk
screenshots/Screenshot 2026-04-07 at 18.28.40.png,screenshots/Screenshot 2026-04-07 at 18.28.40.png,review-needed,manual review,q0298,48.635,2.278,very-low,very-low,pass,manual review,calibrated,ROW,,vehicle-registration,,,,
screenshots/Screenshot 2026-04-07 at 18.28.55.png,screenshots/Screenshot 2026-04-07 at 18.28.55.png,review-needed,manual review,q0761,48.499,0.28,very-low,very-low,warn,manual review,calibrated,MCQ,traffic-signals,expressway,,,topic-subtopic-drift-risk|image-sign-symbol-mismatch-risk,topic-subtopic-drift-risk|image-sign-symbol-mismatch-risk
screenshots/Screenshot 2026-04-07 at 18.28.30.png,screenshots/Screenshot 2026-04-07 at 18.28.30.png,review-needed,manual review,q0172,46.985,5.017,very-low,very-low,pass,manual review,calibrated,MCQ,road-safety,mcq,mountain,,,
screenshots/Screenshot 2026-04-07 at 18.28.39.png,screenshots/Screenshot 2026-04-07 at 18.28.39.png,review-needed,manual review,q0792,46.961,4.7,very-low,very-low,warn,manual review,calibrated,MCQ,traffic-signals,mcq,,,image-sign-symbol-mismatch-risk,image-sign-symbol-mismatch-risk
screenshots/Screenshot 2026-04-07 at 18.28.29.png,screenshots/Screenshot 2026-04-07 at 18.28.29.png,unresolved,likely unresolved,q0773,44.334,0.236,very-low,very-low,warn,likely unresolved,calibrated,MCQ,road-safety,road-markings,,,image-sign-symbol-mismatch-risk,image-sign-symbol-mismatch-risk
screenshots/Screenshot 2026-04-07 at 18.28.49.png,screenshots/Screenshot 2026-04-07 at 18.28.49.png,unresolved,likely unresolved,q0425,43.31,3.653,very-low,very-low,warn,likely unresolved,calibrated,MCQ,traffic-signals,mcq,,,image-sign-symbol-mismatch-risk,image-sign-symbol-mismatch-risk
screenshots/Screenshot 2026-04-07 at 18.28.32.png,screenshots/Screenshot 2026-04-07 at 18.28.32.png,unresolved,likely unresolved,q0190,42.102,1.81,very-low,very-low,pass,likely unresolved,calibrated,ROW,,vehicle-registration,,,,
screenshots/Screenshot 2026-04-07 at 18.28.50.png,screenshots/Screenshot 2026-04-07 at 18.28.50.png,unresolved,likely unresolved,q0224,41.538,1.199,very-low,very-low,pass,likely unresolved,calibrated,ROW,road-safety,row,,,,
screenshots/Screenshot 2026-04-07 at 18.28.45.png,screenshots/Screenshot 2026-04-07 at 18.28.45.png,unresolved,likely unresolved,q0419,41.531,1.227,very-low,very-low,warn,likely unresolved,calibrated,MCQ,,violations-penalties,,,image-sign-symbol-mismatch-risk,image-sign-symbol-mismatch-risk
screenshots/Screenshot 2026-04-07 at 18.28.24.png,screenshots/Screenshot 2026-04-07 at 18.28.24.png,unresolved,likely unresolved,q0851,39.748,4.267,very-low,very-low,warn,likely unresolved,calibrated,MCQ,traffic-signals,mcq,,,image-sign-symbol-mismatch-risk,image-sign-symbol-mismatch-risk
